"document index";"sentence index";"sentence text";"CONLL annotation";"entity error";"DE-A";"DE-BS";"DE-WT";"SL-C";"SL-S";"DL-CR";"DL-S";"G-A";"G-HC";"G-I"
0;0;"SOCCER - JAPAN GET LUCKY WIN , CHINA IN SURPRISE DEFEAT .";"JAPAN:LOC:2-3 CHINA:PER:7-8";"CHINA:7-8";"CHINA:LOC:7-8";;;1;;1;;;;
7;6;"Blinker was fined 75,000 Swiss francs ( $ 57,600 ) for failing to inform the Engllsh club of his previous commitment to Udinese .";"Blinker:PER:0-1 Udinese:ORG:22-23";"Engllsh:15-16";;;1;1;;;;;1;
18;3;"Tasmania 352 for three ( David Boon 106 not out , Shaun Young 86 not out , Michael DiVenuto 119 ) v Victoria .";"Tasmania:LOC:0-1 David Boon:PER:5-7 Shaun Young:PER:11-13 Michael DiVenuto:PER:17-19 Victoria:ORG:22-23";"Tasmania:0-1";"Tasmania:ORG:0-1";;;1;;;;;;
19;5;"West Indies were 53 for two in 15 overs when rain stopped play at the Melbourne Cricket Ground after captain Courtney Walsh won the toss and elected to bat .";"West Indies:LOC:0-2 Melbourne Cricket Ground:LOC:15-18 Courtney Walsh:PER:20-22";"Melbourne Cricket Ground:15-18";;;;1;;;;;1;
20;2;"West Indies captain Courtney Walsh elected to bat after winning the toss in the first match in the World Series limited overs competition against Australia at the Melbourne Cricket Ground on Friday .";"West Indies:LOC:0-2 Courtney Walsh:PER:3-5 Australia:LOC:24-25 Melbourne:LOC:27-28";"Melbourne:27-28";"Melbourne Cricket Ground:LOC:27-30";;;1;;;;;;
22;0;"SOCCER - ARAB CONTRACTORS WIN AFRICAN CUP WINNERS ' CUP .";;"ARAB:2-3";"ARAB CONTRACTORS:ORG:2-4";;;;;1;;;;
22;2;"Result of the second leg of the African Cup Winners ' Cup final at the National stadium on Friday : Arab Contractors ( Egypt ) 4 Sodigraf ( Zaire ) 0 ( halftime 2-0 )";"National stadium:LOC:15-17 Arab Contractors:ORG:20-22 Egypt:LOC:23-24 Sodigraf:ORG:26-27 Zaire:LOC:28-29";"National stadium:15-17";;;1;1;;;;;1;
22;5;"Contractors won 4-0 on aggregate .";;"Contractors:0-1";"Contractors:ORG:0-1";;;;;1;;;;
23;14;"ATLANTIC DIVISION";"ATLANTIC:LOC:0-1";"ATLANTIC:0-1";;;;1;;;1;1;;1
23;32;"PACIFIC DIVISION";"PACIFIC:LOC:0-1";"PACIFIC:0-1";;;;;;;1;1;;1
25;5;"Indianapolis closes with games at Kansas City and Cincinnati .";"Indianapolis:LOC:0-1 Kansas City:LOC:5-7 Cincinnati:LOC:8-9";"Indianapolis:0-1";"Indianapolis:ORG:0-1";;;1;;1;;1;;
25;7;"Philadelphia , which fell from an NFC East tie with the Dallas Cowboys and Washington Redskins , go on the road against the New York Jets and then entertain Arizona .";"Philadelphia:LOC:0-1 Dallas Cowboys:ORG:11-13 Washington Redskins:ORG:14-16 New York Jets:ORG:23-26 Arizona:ORG:29-30";"Philadelphia:0-1";"Philadelphia:ORG:0-1";;;1;;;;1;;
